Identif 1,Theta 1,Phi 1,Dist 1,Identif 2,Theta 2,Phi 2,Dist 2,Nombre Planeta
Gaia DR3 5978207447948294016,0.36751077670419363,-1.4214806857075404,18803.92479801284,Gaia DR3 2082600852679281408,0.34362594495420995,-1.287937287104281,5976.420091355871,Kepler-1242 b
Gaia DR3 2082600852679281408,0.34362594495420995,-1.287937287104281,5976.420091355871,Gaia DR3 5610441600394646016,0.31708649173465864,-1.3386752941017845,6949.660379544979,Kepler-1242 b
Gaia DR3 5610441600394646016,0.31708649173465864,-1.3386752941017845,6949.660379544979,Gaia DR3 4184011836737423872,0.25743098691909455,-1.5428633918781425,8340.030712924627,Kepler-1242 b
Gaia DR3 4184011836737423872,0.25743098691909455,-1.5428633918781425,8340.030712924627,Gaia DR3 482818271843093376,0.3243406891212913,-1.7466882546787583,29356.81327776429,Kepler-1242 b
Gaia DR3 482818271843093376,0.3243406891212913,-1.7466882546787583,29356.81327776429,Gaia DR3 5978207447948294016,0.36751077670419363,-1.4214806857075404,18803.92479801284,Kepler-1242 b
